proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
Q3U308,NA,NA,NA,17.924279001136693,17.581450701149656,18.11156362150325,16.410204731119087,17.031359887155208,16.708094299244436,17.924279001136693,17.581450701149656,18.11156362150325,0.008201135706462184,2.0861260016533203,1.1558781354236238,4.87313116885182,0.008201135706462184,20,Ctu2
Q3UA06,NA,NA,NA,19.533550269156812,19.533417190608013,19.735159334011904,16.68836926001937,17.02639116263845,16.130155701698044,19.533550269156812,19.533417190608013,19.735159334011904,3.7927607725612034e-4,3.421044549449358,2.9857368898069545,11.065685837954865,3.7927607725612034e-4,6,Trip13
Q3UFY7,NA,NA,17.90224555631245,23.372520767353812,23.195264058898253,23.565929501020754,17.301300295443045,16.73598715433141,17.90224555631245,23.372520767353812,23.195264058898253,23.565929501020754,6.758331968949498e-5,4.170160479512587,6.0647271070619695,17.1647323219477,6.758331968949498e-5,5,Nt5c3b
Q3UMT1,NA,NA,NA,18.926655048458258,18.73568822964275,18.813374123474063,16.85335852846297,16.28801104387337,17.335249986696954,18.926655048458258,18.73568822964275,18.813374123474063,0.0028908033361777115,2.5389814527492667,1.9996992808472598,6.4995174669701985,0.0028908033361777115,8,Ppp1r12c
Q3UW53,NA,NA,NA,18.954724544373697,18.330400487381358,18.689718214723612,16.60758659490474,16.65351948544297,17.262156847952202,18.954724544373697,18.330400487381358,18.689718214723612,0.002826575006718692,2.54873948550129,1.8171934393929163,6.538976366113349,0.002826575006718692,15,Niban1
Q501J7,NA,NA,NA,19.51851101198566,19.863221372959757,20.122752178544214,16.703000096347346,16.611693316837858,17.09549852796605,19.51851101198566,19.863221372959757,20.122752178544214,1.8966716212829272e-4,3.7220078538291475,3.031430874112793,13.211052474317823,1.8966716212829272e-4,4,Phactr4
Q5EBG8,NA,NA,NA,17.973204068234,18.201224155280347,17.816346205516723,15.506103383864424,17.032504709948228,16.930936408283852,17.973204068234,18.201224155280347,17.816346205516723,0.0406261368611997,1.3911944727666083,1.507076642311521,2.982801485880436,0.0406261368611997,3,NA
Q5SQY2,NA,NA,NA,21.674997365170125,21.44521090362485,21.135646667773223,17.226533157275252,16.539076080015466,16.592885988722724,21.674997365170125,21.44521090362485,21.135646667773223,6.814297590268093e-5,4.166578904083496,4.632453236851585,17.12898019052365,6.814297590268093e-5,1,Bod1
Q5SSW2,NA,NA,NA,18.775713150383517,18.406985545280325,18.61385419786077,17.178521170261906,17.620780108304196,16.877248071675982,18.775713150383517,18.406985545280325,18.61385419786077,0.004675634125291611,2.3301594803125343,1.373334514427512,5.702047901241145,0.004675634125291611,42,Psme4
Q60598,19.66454103334579,19.42877725595433,19.492479130204064,22.340307599495908,22.16084884838291,22.154991119259112,19.66454103334579,19.42877725595433,19.492479130204064,22.340307599495908,22.16084884838291,22.154991119259112,8.518571061309907e-6,5.0696332493922736,2.690116715877913,28.91227075897426,8.518571061309907e-6,3,Cttn
Q60605,22.36797030471892,22.592132154869358,22.44012399089446,24.313474852215336,24.154450393459072,24.40969909613418,22.36797030471892,22.592132154869358,22.44012399089446,24.313474852215336,24.154450393459072,24.40969909613418,5.1922276525446294e-5,4.284646274205287,1.8257992971086168,18.346835768830243,5.1922276525446294e-5,3,Myl6
Q60631,18.6920365095907,18.275533462830953,18.474331783493803,19.221214203161495,19.556371334577122,19.509975983077794,18.6920365095907,18.275533462830953,18.474331783493803,19.221214203161495,19.556371334577122,19.509975983077794,0.004016002930939535,2.3962059789082555,0.9485532549669848,5.944883764906071,0.004016002930939535,2,Grb2
Q60749,19.890596788267867,20.15795378659456,20.432982236199955,20.757354196788967,20.90829879000133,20.7487824935825,19.890596788267867,20.15795378659456,20.432982236199955,20.757354196788967,20.90829879000133,20.7487824935825,0.01744348218410566,1.7583668139914688,0.6443008897701361,3.9066257136809135,0.01744348218410566,3,Khdrbs1
Q60865,19.64895436801443,19.804137324891585,19.390685383790846,21.03355474210991,20.943278878951908,21.35153885653255,19.64895436801443,19.804137324891585,19.390685383790846,21.03355474210991,20.943278878951908,21.35153885653255,9.828367764214824e-4,3.0075186011764004,1.4948651336325014,8.649312505374452,9.828367764214824e-4,3,Caprin1
Q60876,NA,NA,NA,19.45338317938534,19.668355258212955,19.920852929071845,16.568930876872603,16.25665976243004,16.605913475443387,19.45338317938534,19.668355258212955,19.920852929071845,5.2017192296451176e-5,4.283853093183324,3.2036957506413692,18.338377835132608,5.2017192296451176e-5,2,Eif4ebp1
Q60899,18.994132418851397,19.38321489720812,19.463895504041922,20.555248177618186,20.317496525918997,20.769673222609516,18.994132418851397,19.38321489720812,19.463895504041922,20.555248177618186,20.317496525918997,20.769673222609516,0.002902298235679791,2.537257962175655,1.2670583686817523,6.49256938395704,0.002902298235679791,5,Elavl2
Q61171,23.638541090171145,23.41892628463572,23.967808132143535,24.104136090104863,24.35682644132339,24.407690989204326,23.638541090171145,23.41892628463572,23.967808132143535,24.104136090104863,24.35682644132339,24.407690989204326,0.029373625135457014,1.532042451871119,0.6144593378940613,3.3201788513998065,0.029373625135457014,3,Prdx2
Q61206,NA,NA,NA,18.677210358799893,18.728664577579085,18.210481102466577,16.942941965234077,16.529693837299472,17.41798287512921,18.677210358799893,18.728664577579085,18.210481102466577,0.006676454539943224,2.1754541037679176,1.5752457870609327,5.164673747234851,0.006676454539943224,3,Pafah1b2
Q61584,19.386860276698336,19.881633793726103,19.820418951091472,20.456835661026208,20.285569288128674,20.609730640059222,19.386860276698336,19.881633793726103,19.820418951091472,20.456835661026208,20.285569288128674,20.609730640059222,0.014239590796467956,1.8465024908529135,0.7544075225660656,4.151790554180456,0.014239590796467956,6,Fxr1
Q61701,20.304074978310343,20.61737419447844,20.816518086069184,21.880767301219326,21.571171200583677,21.8812528999172,20.304074978310343,20.61737419447844,20.816518086069184,21.880767301219326,21.571171200583677,21.8812528999172,0.002721687655432952,2.5651617164968594,1.1984080476207453,6.605848066127275,0.002721687655432952,5,Elavl4
